Whisky_korean,whiskey_english,ABV%,Country,Type,alcohol_image_url
아녹 피트하트,AnCnoc Peatheart,46,scotland,Single Malt,
아드벡 10년,Ardbeg 10 Years Old,46,scotland,Single Malt,
아드벡 5년,Ardbeg 5 Years Old,47.5,scotland,Single Malt,
아드벡 슈퍼노바,Ardbeg Supernova,53.8,scotland,Single Malt,
아드벡 우거다일,Ardbeg Uigeadail,54,scotland,Single Malt,
아드벡 코리브레칸,Ardbeg Corryvreckan,57.1,scotland,Single Malt,
아란 10년,Arran 10 Years Old,46,scotland,Single Malt,
아란 18년,Arran 18 Years Old,46,scotland,Single Malt,
아란 21년,Arran 21 Years Old,46,scotland,Single Malt,
아란 소테른캐스크,Arran Sauternes Cask,50,scotland,Single Malt,
아란 쉐리캐스크,Arran Sherry Cask,55.8,scotland,Single Malt,
아란 아마로네캐스크,Arran Amarone Cask,50,scotland,Single Malt,
아란 쿼터캐스크,Arran Quarter Cask,56.2,scotland,Single Malt,
아벨라워 12년,Aberlour 12 Years Old,40,scotland,Single Malt,
아벨라워 14년,Aberlour 14 Years Old,40,scotland,Single Malt,
아벨라워 16년,Aberlour 16 Years Old,40,scotland,Single Malt,
아벨라워 18년,Aberlour 18 Years Old,40,scotland,Single Malt,
아벨라워 아부나흐,Aberlour A'bunadh,58~62,scotland,Single Malt,
야마자키 12년,Yamazaki 12 Year Old,43,japan,Single Malt,
야마자키 18년,Yamazaki 18 Year Old,43,japan,Single Malt,
야마자키 nas,Yamazaki NAS,43,japan,Single Malt,
에반 윌리엄스,Evan Williams,43,usa,Bourbon,
에반 윌리엄스 바틀인본드,Evan Williams Bottled-in-Bond,50,usa,Bourbon,
에버펠디 12년,Aberfeldy 12 Year Old,40,scotland,Single Malt,
에버펠디 16년,Aberfeldy 16 Year Old,40,scotland,Single Malt,
에버펠디 21년,Aberfeldy 21 Year Old,40,scotland,Single Malt,
옐로우로즈 라이,Yellow Rose Rye ,45,usa,Bourbon,
옐로우로즈 프리미엄 아메리칸,Yellow Rose Premium American,40,usa,Bourbon,
오반 14년,Oban 14 Year Old,43,scotland,Single Malt,
오반 18년,Oban 18 Year Old,43,scotland,Single Malt,
오켄토션 12년,Auchentoshan 12 Year Old,40,scotland,Single Malt,
오켄토션 18년,Auchentoshan 18 Year Old,43,scotland,Single Malt,
오켄토션 21년,Auchentoshan 21 Year Old,40,scotland,Single Malt,
오켄토션 쓰리우드,Auchentoshan Three Wood,43,scotland,Single Malt,
올드파 12년,Old Parr 12 Year Old,40,scotland,Blended,
올드파 15년,Old Parr 15 Year Old,43,scotland,Blended,
올드파 18년,Old Parr 18 Year Old,40,scotland,Blended,
올트모어 12년,Aultmore 12 year old,46,scotland,Single Malt,
올트모어 18년,Aultmore 18 year old,46,scotland,Single Malt,
와일드터키 101프루프,Wild Turkey 101 Proof,50.5,usa,Bourbon,
와일드터키 101프루프 라이,Wild Turkey 101 Proof Rye,50.5,usa,Bourbon,
와일드터키 12년,Wild Turkey 12 Year Old,50.5,usa,Bourbon,
와일드터키 13년,Wild Turkey 13 Year Old,45.5,usa,Bourbon,
와일드터키 81프루프,Wild Turkey 81 Proof,40.5,usa,Bourbon,
와일드터키 레어브리드,Wild Turkey Rare Breed,58.4,usa,Bourbon,
와일드터키 레어브리드 라이,Wild Turkey Rare Breed Rye,56.1,usa,Bourbon,
와일드터키 마스터즈 디케이즈,Wild Turkey Master's Keep Decades,50.5,usa,Bourbon,
와일드터키 마스터즈 리바이벌,Wild Turkey Master's Keep Revival,50.5,usa,Bourbon,
와일드터키 마스터즈 코너스톤 라이,Wild Turkey Master's Keep Cornerstone Rye,50.5,usa,Bourbon,
우드포드리저브,Woodford Reserve,43.2,usa,Bourbon,
위도우제인 10년,Widow Jane 10 Year old,45.5,usa,Bourbon,
윈저 12년,Windsor 12 year old,40,scotland,Blended,
일라이저 크레이그,Elijah Craig,47,usa,Bourbon,
잭다니엘 no27,Jack Daniel's No. 27 Gold,40,usa,Bourbon,
잭다니엘 라이,Jack Daniel's Tennessee Rye,45,usa,Bourbon,
잭다니엘 싱글배럴 100프루프,Jack Daniel's Single Barrel 100 Proof,45,usa,Bourbon,
잭다니엘 애플,Jack Daniel's Tennessee Apple,35,usa,Bourbon,
잭다니엘 오리지널,Jack Daniel's No. 7,35,usa,Bourbon,
잭다니엘 젠틀맨잭,Jack Daniel's Gentleman Jack,40,usa,Bourbon,
잭다니엘 허니,Jack Daniel's Tennessee Honey,35,usa,Bourbon,
제임슨 스탠다드,Jameson Standard,40,ireland,Blended,
조니워커 18년,Johnny Walker 18 Year Old,40,scotland,Blended,
조니워커 골든리저브,Johnny Walker Gold Label Reserve,40,scotland,Blended,
조니워커 그린,Johnny Walker Green Label 15 Year Old,43,scotland,Blended,
조니워커 더블블랙,Johnny Walker Double Black,40,scotland,Blended,
조니워커 레드,Johnny Walker Red Label,40,scotland,Blended,
조니워커 블랙,Johnny Walker Black Label,40,scotland,Blended,
조니워커 블루,Johnny Walker Blue Label,40,scotland,Blended,
조니워커 쉐리,Johnnie Walker Sherry Finish,40,scotland,Blended,
주라 10년,Jura 10 Year Old,40,scotland,Single Malt,
주라 12년,Jura 12 Year Old,40,scotland,Single Malt,
주라 18년,Jura 18 Year Old,44,scotland,Single Malt,
주라 21년,Jura 21 Year Old,44,scotland,Single Malt,
주라 더베이,Jura The Bay,44,scotland,Single Malt,
주라 더팹스,Jura The Paps,45.6,scotland,Single Malt,
짐빔,Jim Beam,40,usa,Bourbon,
치타,The Chita,43,japan,Single Malt,
카발란 디스틸러리 셀렉트,Kavalan Distillery Select,40,taiwan,Single Malt,
카발란 버번오크,Kavalan Bourbon Oak,46,taiwan,Single Malt,
카발란 솔리스트 버번,Kavalan Solist Bourbon,57~59,taiwan,Single Malt,
카발란 솔리스트 비노바리끄,Kavalan Solist Vinho Barrique,55~57,taiwan,Single Malt,
카발란 솔리스트 쉐리,Kavalan Solist Sherry,57~58,taiwan,Single Malt,
카발란 올롤로소 쉐리캐스크,Kavalan Oloroso Sherry Cask,46,taiwan,Single Malt,
카발란 클래식,Kavalan Classic,40,taiwan,Single Malt,
카발란 포디움,Kavalan Podium,46,taiwan,Single Malt,
커클랜드,Kirkland Scotch Whisky,40,scotland,Blended,
커클랜드 12년,Kirkland Scotch Whisky 12 year old,40,scotland,Blended,
쿨일라 12년,Caol Ila 12 Year Old,43,scotland,Single Malt,
쿨일라 18년,Caol Ila 18 Year Old,59.8,scotland,Single Malt,
쿨일라 25년,Caol Ila 25 Year Old,43,scotland,Single Malt,
쿨일라 디스틸러스 에디션,Caol Ila Distillers Edition,43,scotland,Single Malt,
